full_name,sido,sigungu,lat,lon
 성주군,,성주군,35.90824796539297,128.23191760753923
 칠곡군,,칠곡군,36.015681391514185,128.4613013104463
 예천군,,예천군,36.6510755762577,128.42254745389164
 봉화군,,봉화군,36.93369419408296,128.91277878909182
 울진군,,울진군,36.904599217191354,129.3111737614945
 울릉군,,울릉군,37.50231064973898,130.86050905549277
 동구,,동구,35.1161435467225,126.95444485239206
 서구,,서구,35.13618206766487,126.85596132164311
 남구,,남구,35.09045285765807,126.85481102815022
 북구,,북구,35.193491395958574,126.92593427852091
 광산구,,광산구,35.16467726243392,126.75019674531981
 중구,,중구,35.867014928949835,128.59443763295923
 동구,,동구,35.934773304610474,128.68615443061287
 서구,,서구,35.87184491114938,128.54870811368357
 남구,,남구,35.837201353561206,128.58307692786923
